sku_id,product_name,system_qty,warehouse_qty,last_updated
SKU001,iPhone 15 Pro Max 256G,340,361,2026-08-03 00:39:07
SKU002,iPhone 15 Pro 128G,436,461,2026-08-03 00:39:07
SKU003,华为 Mate 60 Pro,388,395,2026-08-03 00:39:07
SKU004,小米 14 Ultra,189,182,2026-08-03 00:39:07
SKU005,MacBook Pro 14寸,270,257,2026-08-03 00:39:07
SKU006,iPad Pro 12.9寸,299,312,2026-08-03 00:39:07
SKU007,AirPods Pro 2,252,293,2026-08-03 00:39:07
SKU008,索尼 WH-1000XM5,158,146,2026-08-03 00:39:07
SKU009,戴森 V12 吸尘器,111,91,2026-08-03 00:39:07
SKU010,飞利浦电动牙刷,116,120,2026-08-03 00:39:07
SKU011,罗技 MX Master 3S,336,356,2026-08-03 00:39:07
SKU012,三星 T7 移动硬盘,285,269,2026-08-03 00:39:07
